Instance	Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
98	1000	12	7	30	26	35	10	26	16	23	35	0	0	0
98	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
99	1	96	95	95	96	96	95	95	96	96	96	95	95	96
99	10	94	89	93	95	93	93	92	94	92	94	91	90	91
99	100	78	67	83	82	84	82	82	78	84	84	62	57	47
99	1000	14	6	30	36	38	17	20	22	29	34	4	0	2
99	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
100	1	94	96	96	96	96	96	95	96	96	95	96	96	96
100	10	91	89	94	94	91	94	94	92	94	93	92	91	91
100	100	78	70	84	88	80	81	83	83	83	79	64	62	36
100	1000	13	10	34	34	43	25	29	28	20	45	2	2	0
100	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
