Instance	Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
38	1	94	92	93	94	93	94	94	93	93	94	94	93	93
38	10	91	89	84	85	88	89	92	92	89	91	89	90	88
38	100	70	69	51	41	65	71	78	79	66	71	63	62	59
38	1000	45	44	20	23	40	42	48	47	39	43	40	40	43
38	10000	39	39	0	5	16	38	42	43	33	34	34	39	39
39	1	94	93	93	92	94	93	94	93	95	94	93	94	91
39	10	92	88	85	82	89	90	90	92	91	90	88	91	91
39	100	71	69	53	48	72	68	76	78	69	78	60	63	63
39	1000	43	42	28	27	36	43	41	44	40	47	42	41	43
39	10000	38	40	6	0	17	39	36	41	34	29	38	39	37
40	1	94	94	91	94	94	93	91	92	94	93	94	91	92
40	10	92	90	85	84	84	88	89	91	88	90	90	90	89
40	100	73	69	55	51	65	66	74	84	66	73	59	59	53
40	1000	46	49	30	31	31	38	43	44	38	38	38	39	43
40	10000	46	45	0	3	18	33	41	42	30	28	36	33	39
41	1	94	93	92	94	94	93	93	93	93	92	93	94	94
41	10	92	91	85	85	88	89	89	90	87	92	91	90	92
41	100	73	71	58	40	66	69	74	73	71	74	62	64	67
41	1000	44	45	25	15	37	39	41	46	43	42	42	37	39
41	10000	40	41	4	3	22	33	37	41	31	35	40	34	36
42	1	94	94	95	92	94	93	93	93	94	93	93	93	94
42	10	90	91	86	82	88	91	91	90	90	91	88	92	91
42	100	70	67	58	37	65	67	78	75	63	72	65	61	65
42	1000	40	37	21	20	33	42	46	48	42	43	44	42	44
42	10000	39	35	5	0	14	39	42	44	39	30	39	40	42
43	1	95	92	94	94	93	92	93	94	94	94	92	93	94
43	10	91	89	85	85	89	86	93	92	90	89	87	92	91
43	100	73	68	47	32	68	67	74	77	68	72	58	60	67
43	1000	42	44	25	14	31	39	41	41	41	43	42	43	39
43	10000	37	42	3	0	18	34	39	39	33	35	39	40	39
44	1	93	93	93	94	94	94	94	94	94	93	93	93	95
44	10	90	91	86	87	90	86	91	91	89	91	89	92	91
44	100	72	69	55	48	72	67	73	78	67	76	65	66	64
44	1000	47	41	26	20	35	41	46	43	45	42	46	40	48
44	10000	43	38	0	3	20	39	44	41	36	29	42	38	44
45	1	94	95	94	93	93	91	94	93	93	92	94	93	94
45	10	91	88	85	84	88	87	89	90	90	91	90	90	91
45	100	72	67	61	53	66	63	78	77	68	75	64	65	62
45	1000	44	49	29	25	42	37	42	43	41	40	40	41	45
45	10000	40	44	0	3	21	32	40	38	32	33	29	40	39
46	1	94	94	90	93	93	93	93	94	93	94	94	94	94
46	10	91	88	82	87	89	87	91	92	87	91	90	92	89
46	100	72	69	53	42	67	64	79	80	68	77	67	67	62
46	1000	43	43	19	14	36	42	46	44	43	44	47	43	41
46	10000	41	41	0	0	21	40	42	40	32	37	39	41	32
47	1	94	95	91	93	92	93	94	93	95	94	93	92	92
47	10	91	90	84	84	87	89	91	89	88	91	90	89	90
47	100	72	70	53	39	63	68	73	79	67	73	63	61	57
47	1000	47	44	28	20	40	38	58	45	44	40	43	40	42
47	10000	42	41	6	6	19	37	43	41	32	29	39	37	39
48	1	93	94	92	93	92	92	94	93	93	93	92	92	94
48	10	90	89	85	84	88	87	91	90	90	88	90	91	91
48	100	73	69	57	36	65	63	78	78	69	74	63	63	59
48	1000	44	47	27	15	32	38	55	45	41	44	45	44	40
48	10000	35	42	6	0	16	36	44	41	29	44	40	37	36
49	1	94	94	94	92	93	95	94	93	92	92	94	93	94
49	10	91	90	87	87	89	87	91	90	88	89	87	91	89
49	100	75	70	54	51	67	65	80	77	70	81	63	62	59
49	1000	45	42	19	25	31	37	46	46	43	49	39	41	43
49	10000	38	41	4	0	20	33	43	38	34	32	36	40	35
50	1	92	94	92	93	92	93	93	95	94	94	94	94	94
50	10	89	90	82	84	87	90	91	92	89	91	88	92	92
50	100	72	70	53	47	64	69	80	74	69	79	64	63	62
50	1000	44	45	27	22	38	44	39	47	42	40	44	40	45
50	10000	38	42	7	4	17	38	37	42	40	34	41	40	38
51	1	94	94	94	93	94	94	93	93	94	94	94	94	92
51	10	92	90	85	86	89	89	91	89	88	89	90	92	90
51	100	72	71	54	49	63	63	78	78	67	73	60	65	60
51	1000	45	44	27	22	37	38	46	50	40	50	40	48	43
51	10000	42	38	2	0	16	36	40	45	32	32	40	43	35
52	1	95	94	91	92	91	92	93	94	92	93	94	94	94
52	10	91	90	80	84	88	88	89	90	88	91	90	92	91
52	100	73	69	57	44	67	64	76	76	67	72	65	71	63
52	1000	43	41	23	20	35	41	51	42	40	43	38	41	44
52	10000	40	38	0	6	24	38	36	38	34	32	38	37	39
53	1	94	94	94	94	93	94	93	94	94	93	93	93	93
53	10	92	90	88	83	87	89	91	91	89	90	89	90	89
53	100	73	72	56	37	67	65	74	76	66	70	67	58	59
53	1000	36	46	29	21	35	39	42	47	41	45	46	49	39
53	10000	32	43	3	3	16	33	41	40	31	39	41	43	39
54	1	95	93	93	93	92	94	94	94	94	94	95	95	92
54	10	94	90	87	84	86	89	92	90	89	89	90	92	90
54	100	74	68	60	37	61	64	78	77	69	74	63	68	61
54	1000	41	47	28	21	37	44	44	48	45	57	42	42	45
54	10000	37	43	0	0	17	39	43	43	38	31	39	42	39
55	1	94	93	93	93	94	94	93	92	94	93	94	93	95
55	10	90	91	86	84	89	88	90	91	88	91	90	91	90
55	100	74	68	57	38	66	65	78	77	67	75	65	63	67
55	1000	46	43	23	18	35	40	45	44	40	41	41	50	43
55	10000	40	39	6	0	19	38	41	40	35	40	37	46	42
56	1	94	92	91	93	94	93	93	92	93	91	93	92	94
56	10	92	89	85	85	87	89	90	92	88	91	89	90	90
56	100	75	68	54	45	65	62	76	78	73	75	67	64	61
56	1000	42	41	27	25	35	42	43	45	43	41	45	42	43
56	10000	38	38	6	7	11	39	40	39	35	41	40	36	38
57	1	94	91	94	92	94	95	93	94	92	93	95	92	94
57	10	91	87	84	85	89	88	91	91	88	90	88	90	89
57	100	67	69	58	46	65	66	84	78	67	79	68	64	59
57	1000	42	46	26	29	36	40	53	43	43	44	45	43	40
57	10000	41	40	0	3	19	36	38	39	36	31	39	39	37
58	1	93	92	92	95	91	94	92	94	92	93	93	93	93
58	10	91	90	84	85	85	89	91	91	89	92	89	89	88
58	100	71	67	55	52	66	66	79	76	71	77	67	63	66
58	1000	43	49	32	22	37	41	37	43	39	45	42	45	41
58	10000	40	39	3	3	19	37	34	39	31	32	41	40	39
59	1	95	90	93	93	94	94	94	92	93	92	94	94	93
59	10	92	88	85	83	88	89	90	91	88	91	88	92	90
59	100	70	67	51	45	69	67	80	73	71	78	61	64	61
59	1000	41	45	20	25	34	43	45	45	40	40	46	44	35
59	10000	38	38	3	9	19	40	42	41	32	34	39	38	35
60	1	91	94	94	93	93	94	93	92	94	94	95	94	92
60	10	89	89	84	87	89	88	91	91	89	91	90	90	90
60	100	70	68	52	47	67	64	77	78	69	72	65	61	65
60	1000	49	44	16	21	41	42	47	43	41	45	45	43	45
60	10000	44	41	3	7	18	37	44	39	32	29	42	37	42
61	1	95	93	94	93	91	92	93	91	94	92	94	94	93
61	10	92	89	84	84	90	88	92	90	90	90	89	92	90
61	100	72	67	54	35	66	68	84	77	67	72	66	65	57
61	1000	43	43	23	16	32	40	42	49	37	45	40	43	44
61	10000	39	36	0	5	17	36	37	47	34	38	39	41	37
62	1	94	94	94	92	93	92	93	90	93	92	90	93	93
62	10	91	89	86	83	88	87	91	90	89	90	88	89	90
62	100	70	66	57	49	70	62	72	76	68	77	59	60	60
62	1000	42	47	24	22	37	43	44	44	39	42	45	43	43
62	10000	37	41	0	0	16	40	40	41	34	35	41	40	32
63	1	93	94	94	94	92	94	94	91	92	93	93	95	94
63	10	91	90	85	85	89	87	91	90	88	91	89	92	91
63	100	71	67	57	51	68	63	77	78	68	71	67	58	68
63	1000	45	46	23	20	32	38	46	42	42	48	44	43	43
63	10000	40	43	0	2	15	36	39	37	35	42	40	38	39
64	1	94	93	95	92	95	94	93	92	93	94	91	94	92
64	10	91	90	83	84	90	90	91	89	91	92	85	90	91
64	100	73	71	56	42	69	63	75	76	66	84	64	63	56
64	1000	43	41	29	22	35	40	44	46	44	42	42	42	41
64	10000	42	40	4	3	21	34	41	40	35	29	38	38	38
65	1	93	93	94	92	94	93	93	93	94	94	93	94	94
65	10	90	89	84	84	87	89	91	90	90	90	88	90	89
65	100	72	65	56	47	67	65	77	81	67	80	63	59	57
65	1000	41	42	20	19	39	42	41	45	44	42	41	47	45
65	10000	38	38	3	4	20	37	40	41	35	40	35	39	44
66	1	94	93	92	94	93	93	94	94	92	93	94	92	93
66	10	91	90	86	85	89	89	91	91	87	91	91	91	89
66	100	73	69	54	36	65	65	75	74	64	70	64	66	65
66	1000	46	43	25	22	31	39	45	41	40	45	45	46	45
66	10000	40	41	6	0	15	36	40	39	34	32	39	41	41
67	1	94	93	93	93	92	94	93	92	94	94	94	93	94
67	10	91	91	81	84	88	88	91	91	87	91	89	91	91
67	100	71	70	53	42	69	63	77	81	73	71	65	61	59
67	1000	39	46	27	24	32	40	45	43	43	41	41	42	42
67	10000	35	42	4	4	19	39	39	40	38	34	40	36	38
68	1	94	93	94	93	93	93	94	93	92	94	94	95	94
68	10	91	88	87	86	88	87	91	91	87	92	89	91	90
68	100	73	70	53	43	69	66	74	75	66	76	63	60	57
68	1000	45	44	27	22	35	40	41	42	41	46	44	43	40
68	10000	39	40	2	3	22	37	34	38	36	32	42	39	38
69	1	93	94	94	93	93	93	94	93	92	94	94	94	95
69	10	90	91	87	84	89	87	90	90	86	91	89	92	90
69	100	70	69	59	49	69	64	78	77	64	74	63	65	59
69	1000	48	43	28	25	30	43	47	54	38	42	40	43	36
69	10000	42	37	7	5	19	39	42	43	33	29	34	38	35
70	1	95	93	94	94	94	93	90	94	94	93	95	94	92
70	10	92	88	85	85	91	87	90	89	89	90	90	89	88
70	100	69	68	52	37	65	63	75	78	66	71	66	58	57
70	1000	43	41	20	23	37	39	44	48	44	53	41	38	42
70	10000	38	35	0	0	15	36	42	40	38	35	39	36	36
71	1	95	93	92	92	93	92	93	93	93	92	93	93	94
71	10	92	89	84	84	89	89	91	93	87	91	89	91	89
71	100	75	70	55	46	67	66	78	78	67	73	63	72	56
71	1000	50	46	25	26	31	44	36	43	41	45	42	42	43
71	10000	42	41	4	7	19	38	35	41	31	32	41	41	37
72	1	95	94	94	94	93	93	94	92	92	93	93	92	95
72	10	91	89	85	85	90	89	92	90	90	92	88	90	91
72	100	73	68	58	43	67	66	80	77	66	77	64	65	53
72	1000	47	44	24	22	36	42	51	46	42	44	41	46	43
72	10000	45	37	0	0	18	40	44	42	38	32	40	39	35
73	1	93	94	93	91	94	93	92	93	92	94	92	94	93
73	10	92	90	86	86	89	89	92	89	88	91	89	91	90
73	100	77	69	58	42	67	66	74	75	73	74	62	61	61
73	1000	42	45	29	22	37	42	41	42	38	43	41	40	45
73	10000	38	43	3	4	21	36	37	39	33	33	38	36	42
74	1	93	94	93	93	93	93	93	93	94	94	93	93	94
74	10	89	91	86	85	88	88	90	88	89	92	89	90	91
74	100	70	70	53	45	64	66	78	80	69	78	63	61	59
74	1000	46	44	24	23	34	41	48	47	43	47	45	40	40
74	10000	41	42	3	7	15	34	42	47	35	33	38	37	40
75	1	93	94	94	94	95	92	94	94	94	94	92	92	93
75	10	90	89	85	88	89	88	90	90	88	90	88	91	91
75	100	70	70	58	44	67	68	75	76	68	82	63	62	58
75	1000	47	47	25	21	36	41	46	44	41	49	47	46	41
75	10000	39	40	0	0	18	39	43	43	35	31	41	36	38
76	1	94	93	95	93	95	92	94	94	93	92	92	94	93
76	10	91	89	83	85	88	87	92	90	90	91	89	88	91
76	100	69	70	54	42	68	64	76	79	68	69	68	66	67
76	1000	46	47	28	17	36	38	44	47	43	44	46	42	44
76	10000	37	43	8	0	17	36	41	41	35	31	42	38	42
77	1	94	92	91	94	92	94	94	93	94	93	94	94	94
77	10	92	88	84	82	89	89	91	92	87	92	88	90	88
77	100	70	70	51	44	67	64	80	76	66	76	66	62	59
77	1000	42	41	21	23	33	36	44	45	39	44	42	46	43
77	10000	39	39	0	0	19	33	40	40	35	31	38	41	38
78	1	94	93	92	92	94	91	94	94	94	90	94	91	92
78	10	92	91	86	84	87	88	91	89	89	86	90	91	91
78	100	72	70	60	55	67	68	77	75	64	73	66	65	61
78	1000	43	48	22	26	36	41	47	47	45	47	40	45	45
78	10000	39	43	7	0	14	37	46	41	35	36	35	42	42
79	1	94	93	95	93	91	94	92	92	93	95	93	93	94
79	10	92	89	85	85	87	89	90	91	85	89	90	91	91
79	100	72	70	54	41	68	65	81	76	59	83	61	69	61
79	1000	39	40	30	23	36	39	57	49	40	47	41	44	44
79	10000	37	39	3	3	25	35	43	44	37	35	37	42	39
80	1	94	93	92	92	93	93	93	94	92	93	93	94	91
80	10	90	90	85	84	88	87	92	92	89	92	89	91	90
80	100	73	69	61	45	67	64	79	81	66	76	61	59	58
80	1000	40	44	23	26	35	45	46	47	44	46	39	40	41
80	10000	33	34	3	0	21	38	37	43	36	35	36	37	38
81	1	93	91	93	94	94	93	92	92	94	93	92	93	91
81	10	90	88	83	86	88	88	89	91	91	90	85	92	90
81	100	71	71	56	44	67	62	76	75	65	79	62	64	58
81	1000	41	44	28	23	35	37	48	44	45	42	38	46	38
81	10000	38	39	0	8	18	36	44	38	34	32	33	38	34
82	1	93	92	94	93	93	93	93	93	93	93	94	94	93
82	10	91	91	85	87	86	88	91	90	88	89	89	90	89
82	100	72	72	56	43	61	63	80	79	60	70	63	57	66
82	1000	45	45	21	21	31	41	46	47	38	44	43	44	41
82	10000	41	42	0	5	24	39	40	41	31	32	39	41	35
83	1	94	94	93	93	94	93	94	92	94	93	94	93	93
83	10	91	90	85	84	89	88	91	88	88	90	89	89	89
83	100	72	70	54	56	66	67	76	74	67	74	62	61	59
83	1000	40	42	24	28	42	40	42	44	42	44	44	46	41
83	10000	38	40	6	4	20	37	37	43	32	36	39	38	41
84	1	93	93	93	94	94	93	94	94	93	92	92	92	92
84	10	90	90	84	88	88	89	90	91	89	90	88	90	89
84	100	74	71	55	54	62	61	73	78	69	72	64	56	54
84	1000	44	44	27	35	36	39	46	54	40	49	44	40	40
84	10000	41	40	0	7	19	38	41	44	31	32	35	38	36
85	1	94	93	94	94	93	93	94	94	92	94	94	92	92
85	10	92	89	87	86	90	86	92	92	87	90	90	89	90
85	100	71	71	52	45	69	65	78	78	72	74	64	61	55
85	1000	42	38	19	27	30	41	47	44	42	48	43	40	45
85	10000	37	37	2	9	20	37	44	40	39	28	40	39	39
86	1	95	92	94	93	93	93	93	92	93	94	92	93	94
86	10	92	89	87	85	86	89	90	91	89	91	89	92	90
86	100	72	65	55	33	66	66	75	74	70	70	62	59	55
86	1000	44	43	28	16	34	43	50	50	46	38	47	34	44
86	10000	32	40	6	3	14	36	40	46	39	32	44	33	42
87	1	95	93	93	92	94	93	94	94	93	92	93	93	92
87	10	91	90	84	82	87	88	91	91	88	89	91	90	89
87	100	71	68	48	50	67	69	77	73	70	76	59	68	61
87	1000	44	39	20	26	36	43	43	44	41	45	38	43	44
87	10000	43	32	0	3	22	36	38	41	31	32	36	38	43
88	1	93	93	91	94	93	95	94	93	93	94	92	93	92
88	10	90	89	83	85	88	90	91	89	89	92	89	91	88
88	100	73	68	62	42	64	66	77	78	66	76	65	66	53
88	1000	44	44	26	18	31	40	46	48	40	47	47	42	42
88	10000	40	37	5	3	12	35	38	44	32	28	40	37	38
89	1	96	93	93	93	94	94	90	93	92	93	93	91	94
89	10	93	89	83	87	90	85	90	89	87	92	89	90	91
89	100	71	69	56	59	70	68	77	79	71	82	70	59	63
89	1000	40	47	25	29	36	46	44	48	41	39	42	42	47
89	10000	33	39	3	7	26	41	43	44	34	30	38	37	41
90	1	95	94	93	92	93	91	93	93	93	92	94	92	94
90	10	90	91	86	84	87	88	91	90	89	90	89	90	89
90	100	73	68	50	48	67	66	77	80	68	75	64	63	65
90	1000	42	42	25	24	36	39	51	45	41	42	44	47	46
90	10000	37	36	3	0	16	36	41	41	32	42	44	44	39
91	1	94	93	93	93	93	94	93	94	94	94	92	93	94
91	10	91	88	86	83	89	89	91	91	89	90	88	90	91
91	100	72	65	53	43	69	65	74	84	70	78	63	64	63
91	1000	43	40	26	22	35	40	46	57	43	44	41	42	42
